student_id,gender,age,grade_level,attendance_percentage,behavior_score,intervention_type,at_risk
6318,Female,18,11,95,3,Mentorship,1
6491,Female,16,9,74,6,Study Plan,1
8532,Male,18,11,78,8,Tutoring,1
1558,Male,18,12,82,9,Study Plan,1
8834,Female,16,12,91,10,Mentorship,0
7783,Female,17,10,77,2,Study Plan,0
4584,Male,17,10,90,1,Counseling,0
9587,Female,17,10,94,5,Mentorship,0
8186,Male,16,12,98,2,Tutoring,1
1889,Male,16,9,82,3,Tutoring,0
3698,Male,16,9,73,8,Study Plan,0
3390,Male,16,9,72,4,Mentorship,1
5546,Male,18,9,90,3,Mentorship,0
4229,Male,18,10,77,9,Study Plan,1
5505,Female,18,11,92,4,Study Plan,0
8549,Female,16,9,82,1,Counseling,1
4246,Female,16,9,80,10,Tutoring,0
5714,Female,17,11,83,6,Study Plan,1
9266,Female,18,10,77,2,Mentorship,0
5117,Female,17,12,87,7,Mentorship,1
6488,Male,17,9,81,10,Mentorship,1
4262,Female,17,12,85,9,Study Plan,1
3805,Female,18,10,100,4,Study Plan,0
4739,Male,18,10,91,1,Tutoring,1
6079,Female,18,10,93,3,Counseling,1
6590,Female,16,11,93,8,Tutoring,0
1942,Male,18,9,90,1,Tutoring,0
2095,Male,17,10,75,2,Mentorship,0
4065,Male,16,9,79,2,Mentorship,0
5542,Female,16,11,96,10,Tutoring,1
6422,Male,16,11,96,9,Mentorship,1
2180,Male,18,11,74,3,Tutoring,0
3389,Male,16,11,85,4,Study Plan,0
5861,Male,17,11,97,9,Counseling,0
8361,Male,18,9,74,5,Study Plan,0
8149,Male,16,11,70,8,Study Plan,0
6918,Female,16,12,93,1,Counseling,0
5194,Female,18,9,72,6,Mentorship,1
8859,Female,18,10,85,6,Tutoring,0
9848,Male,16,11,71,8,Counseling,1
8066,Female,18,11,80,10,Mentorship,1
2021,Female,16,10,81,10,Counseling,1
2739,Female,16,11,74,5,Study Plan,1
1196,Female,16,12,93,9,Study Plan,0
9229,Female,18,11,89,10,Counseling,1
3607,Female,16,12,82,3,Study Plan,1
8994,Female,16,9,82,4,Mentorship,0
8139,Female,18,9,88,3,Counseling,1
3764,Female,18,11,88,5,Counseling,0
2229,Male,18,10,97,5,Mentorship,1
5179,Male,17,9,74,5,Study Plan,0
6844,Male,16,10,70,7,Tutoring,0
1342,Male,18,9,97,1,Mentorship,1
7739,Male,18,12,96,5,Study Plan,0
6766,Female,18,9,91,2,Study Plan,0
7230,Female,18,9,74,4,Tutoring,1
2002,Female,16,10,85,10,Study Plan,0
9525,Female,16,12,77,6,Tutoring,0
3219,Male,17,10,73,5,Counseling,0
9464,Female,18,9,96,4,Study Plan,1
3867,Male,17,9,86,7,Tutoring,0
7000,Female,17,9,77,3,Tutoring,0
9154,Female,17,12,99,8,Counseling,0
3628,Male,16,10,71,2,Tutoring,1
9442,Male,18,10,73,3,Study Plan,1
7862,Male,17,10,76,4,Study Plan,0
1334,Female,18,10,98,3,Tutoring,0
9693,Female,18,12,100,4,Tutoring,0
2302,Male,18,12,98,7,Tutoring,0
4026,Male,18,12,70,3,Study Plan,1
9354,Male,16,12,88,3,Mentorship,1
5373,Female,17,10,84,9,Mentorship,1
1152,Male,18,10,86,8,Tutoring,0
1155,Female,17,9,78,6,Study Plan,0
5792,Male,16,11,99,2,Mentorship,0
5371,Female,18,9,88,5,Counseling,1
1905,Male,18,12,79,2,Study Plan,0
7318,Male,16,11,84,8,Mentorship,1
3332,Female,16,10,98,3,Tutoring,1
2718,Male,18,10,93,7,Study Plan,1
4592,Male,17,10,87,1,Counseling,1
7969,Female,16,12,81,1,Tutoring,1
4409,Female,16,10,86,9,Tutoring,1
4107,Male,16,9,77,8,Tutoring,1
7395,Male,18,12,97,8,Study Plan,1
5713,Female,17,9,76,7,Study Plan,1
2561,Female,16,12,78,7,Study Plan,0
2353,Female,18,11,74,8,Counseling,1
4197,Female,16,12,76,9,Study Plan,1
4159,Male,16,10,70,5,Tutoring,0
8231,Female,17,12,76,3,Mentorship,1
5341,Male,16,12,79,4,Study Plan,1
6319,Female,16,12,97,7,Mentorship,1
7341,Female,16,12,78,3,Tutoring,0
6072,Female,17,9,76,5,Study Plan,0
1309,Female,18,11,87,8,Counseling,1
4051,Male,18,9,75,4,Tutoring,1
3175,Male,18,11,98,3,Tutoring,0
6776,Male,16,11,89,7,Study Plan,0
9340,Male,17,10,81,3,Counseling,1
1132,Male,18,12,80,4,Counseling,1
8643,Female,16,9,96,3,Tutoring,1
3756,Female,16,9,83,3,Counseling,1
1855,Female,17,9,83,6,Tutoring,1
8681,Male,16,12,95,3,Study Plan,0
8750,Female,16,11,91,2,Counseling,0
8855,Male,17,9,88,9,Counseling,1
6587,Female,17,11,78,2,Study Plan,0
6676,Female,17,10,73,9,Mentorship,1
1443,Male,18,11,75,9,Mentorship,0
6175,Male,16,11,93,1,Mentorship,0
8344,Female,17,11,80,3,Tutoring,1
6173,Male,18,10,75,1,Tutoring,0
8922,Female,16,9,98,7,Mentorship,1
2874,Male,16,12,94,8,Tutoring,0
8491,Male,16,12,86,7,Tutoring,1
5834,Male,16,12,80,9,Counseling,0
7474,Female,18,9,90,1,Counseling,0
4681,Female,17,11,73,1,Study Plan,1
2339,Male,17,11,79,6,Mentorship,1
6747,Female,18,11,95,1,Counseling,0
1134,Female,16,9,71,10,Mentorship,1
4277,Male,16,11,97,6,Study Plan,0
6457,Female,17,9,85,2,Counseling,0
8508,Male,18,10,82,8,Study Plan,1
5449,Male,18,11,79,1,Mentorship,1
4168,Female,16,12,86,3,Mentorship,1
3676,Female,16,12,94,4,Counseling,1
2946,Female,18,9,99,2,Counseling,0
9478,Female,16,9,98,7,Study Plan,0
3126,Male,16,12,93,10,Counseling,0
9899,Male,17,12,82,9,Study Plan,1
1361,Female,17,10,87,1,Study Plan,1
8595,Male,17,9,97,1,Counseling,0
9765,Male,17,9,96,1,Tutoring,1
4479,Female,17,12,100,10,Mentorship,1
4069,Female,17,11,88,2,Study Plan,1
8800,Male,18,10,83,7,Study Plan,1
5854,Female,18,10,85,1,Tutoring,0
5593,Female,17,12,90,1,Tutoring,1
8399,Female,17,9,71,9,Counseling,1
7992,Female,16,10,89,6,Tutoring,1
3995,Female,17,11,84,8,Tutoring,1
7717,Female,17,9,70,8,Mentorship,1
1833,Male,16,9,88,2,Mentorship,1
9910,Male,18,10,77,6,Mentorship,1
6025,Male,17,9,81,3,Study Plan,1
8269,Male,16,9,99,2,Counseling,0
8560,Female,17,10,90,4,Mentorship,0
8424,Female,16,9,99,6,Study Plan,1
8640,Female,18,12,73,4,Tutoring,0
1300,Female,18,11,82,10,Mentorship,0
8472,Female,16,10,70,10,Mentorship,0
3150,Male,18,12,74,10,Mentorship,1
2568,Male,17,11,96,7,Study Plan,1
7856,Male,18,10,83,9,Counseling,1
2677,Male,16,11,78,8,Tutoring,1
7684,Female,17,9,92,4,Counseling,1
4114,Female,17,9,93,7,Counseling,0
1613,Male,16,10,94,1,Study Plan,1
9139,Female,17,11,99,6,Mentorship,0
2099,Male,16,10,73,1,Counseling,1
6521,Female,16,10,73,4,Mentorship,1
9313,Male,17,11,77,7,Tutoring,0
6320,Female,18,10,72,9,Study Plan,0
2501,Male,18,10,81,2,Mentorship,1
6309,Male,18,11,90,1,Mentorship,0
1230,Female,17,11,95,3,Tutoring,0
6775,Male,17,10,93,8,Mentorship,0
3424,Female,16,12,87,10,Counseling,1
4729,Female,18,11,91,2,Counseling,1
3231,Male,16,12,93,9,Study Plan,0
3462,Female,16,9,91,7,Study Plan,1
8467,Female,17,11,72,5,Mentorship,0
5238,Male,17,9,100,3,Tutoring,1
8620,Female,16,11,89,9,Tutoring,1
1306,Male,17,9,98,9,Mentorship,0
3431,Female,16,9,84,7,Tutoring,1
6907,Male,17,11,80,2,Tutoring,0
3261,Female,16,10,72,3,Mentorship,1
4084,Female,17,11,99,9,Study Plan,0
5490,Female,16,11,99,9,Counseling,0
1219,Male,18,11,71,2,Study Plan,1
1552,Female,17,11,89,5,Tutoring,1
7640,Female,16,11,97,3,Study Plan,0
7163,Female,18,11,90,7,Counseling,0
3487,Female,17,11,93,3,Counseling,0
9102,Female,17,12,78,5,Study Plan,1
8325,Male,16,10,79,10,Study Plan,1
7462,Female,17,10,91,6,Counseling,1
9754,Male,17,11,85,3,Counseling,0
1305,Female,16,9,84,2,Study Plan,0
6812,Male,16,12,80,6,Mentorship,1
5401,Male,16,11,88,4,Counseling,0
9867,Male,17,10,83,2,Counseling,1
2369,Female,18,12,96,10,Counseling,0
5264,Female,18,12,89,4,Tutoring,1
3824,Male,17,9,81,2,Tutoring,0
1177,Male,16,10,90,1,Tutoring,1
8323,Female,17,12,80,3,Tutoring,0
5623,Male,16,10,76,10,Mentorship,0
6706,Female,16,9,73,1,Mentorship,0
4521,Male,18,9,95,4,Tutoring,0
3167,Male,17,9,81,7,Study Plan,0
1115,Male,16,10,76,8,Study Plan,1
2655,Female,16,12,71,7,Study Plan,1
5049,Female,17,10,85,7,Counseling,0
6145,Female,16,11,81,9,Tutoring,1
5214,Male,17,12,92,9,Study Plan,1
2384,Female,16,9,75,7,Mentorship,0
1438,Female,18,9,98,1,Study Plan,0
4558,Female,17,12,88,4,Tutoring,1
4557,Male,17,9,97,6,Mentorship,0
2735,Female,17,9,75,7,Tutoring,1
1421,Female,18,9,78,6,Counseling,1
2163,Male,16,11,74,6,Tutoring,0
8167,Male,16,10,93,10,Counseling,0
8209,Female,18,9,92,2,Tutoring,0
5237,Male,17,10,92,4,Tutoring,1
8228,Female,16,9,84,5,Study Plan,1
4265,Male,18,10,71,7,Tutoring,1
3410,Female,18,10,86,7,Tutoring,1
3386,Female,17,12,99,3,Study Plan,1
9164,Female,18,12,83,4,Counseling,1
2634,Female,18,10,75,6,Mentorship,1
5029,Female,18,11,97,9,Tutoring,1
9466,Female,16,11,91,8,Study Plan,1
3330,Female,18,11,85,9,Tutoring,0
3870,Male,18,9,82,6,Mentorship,1
7473,Female,17,10,77,7,Study Plan,1
4654,Male,17,9,75,2,Mentorship,0
9695,Male,17,9,88,4,Tutoring,0
8358,Male,16,10,75,7,Study Plan,0
2286,Male,17,10,82,5,Tutoring,1
7020,Male,16,10,86,1,Mentorship,1
3106,Male,18,9,70,6,Mentorship,1
9949,Female,18,9,80,2,Study Plan,0
8331,Male,16,10,100,10,Counseling,0
2437,Male,16,10,89,9,Mentorship,1
3468,Male,18,9,90,6,Mentorship,1
5979,Female,18,9,83,5,Mentorship,0
8172,Female,17,10,94,2,Tutoring,1
7391,Male,17,10,70,7,Study Plan,1
9309,Female,18,10,91,8,Study Plan,1
4050,Male,16,9,86,1,Mentorship,1
1101,Female,16,12,98,3,Counseling,0
5019,Female,16,9,73,1,Study Plan,0
7515,Male,16,10,72,2,Study Plan,0
4362,Male,16,10,78,8,Tutoring,0
3054,Female,18,11,98,1,Study Plan,1
8605,Female,16,10,80,2,Counseling,1
6593,Male,18,9,79,6,Counseling,1
5858,Female,18,11,99,5,Mentorship,0
6579,Male,16,12,93,10,Tutoring,0
4480,Male,18,11,90,3,Counseling,1
7203,Male,16,11,85,8,Counseling,1
3539,Male,18,11,82,7,Mentorship,0
3715,Male,17,9,72,10,Tutoring,0
5952,Female,18,12,76,1,Study Plan,0
5855,Female,16,9,97,5,Tutoring,1
6127,Male,16,12,91,3,Tutoring,0
1230,Female,18,12,76,3,Study Plan,0
6868,Female,18,11,81,4,Counseling,1
9026,Male,16,11,89,10,Study Plan,0
4509,Female,18,10,76,2,Study Plan,0
4934,Male,18,9,96,2,Counseling,1
1283,Female,16,10,81,3,Tutoring,0
2370,Male,18,9,98,9,Study Plan,0
8361,Female,18,12,72,10,Mentorship,1
6619,Female,18,11,75,4,Counseling,0
9650,Male,18,11,88,1,Tutoring,0
9613,Male,17,11,97,4,Mentorship,1
9901,Male,16,9,97,6,Tutoring,0
5735,Female,16,9,94,4,Tutoring,1
6863,Female,18,11,78,10,Counseling,1
6356,Male,16,11,91,4,Mentorship,1
4632,Male,16,10,87,3,Counseling,1
5374,Male,18,9,93,5,Counseling,1
8830,Female,16,11,88,3,Mentorship,1
5510,Male,17,12,93,6,Mentorship,1
2374,Male,17,12,86,2,Mentorship,0
2796,Female,18,9,88,3,Counseling,1
8615,Female,17,12,77,4,Tutoring,1
7716,Female,18,11,85,7,Tutoring,0
1858,Female,16,10,82,8,Study Plan,0
8866,Female,17,11,85,4,Tutoring,1
3999,Female,16,9,82,2,Study Plan,0
5850,Male,18,10,77,8,Counseling,1
9460,Male,18,9,96,3,Mentorship,1
2876,Male,18,12,83,8,Tutoring,1
4003,Male,16,10,88,1,Tutoring,1
4889,Male,17,10,80,7,Counseling,0
2551,Male,18,12,87,1,Tutoring,0
8059,Female,17,9,95,2,Tutoring,1
2259,Female,18,11,98,7,Tutoring,0
2169,Male,17,11,81,7,Study Plan,0
9831,Male,17,11,86,5,Tutoring,1
4735,Female,17,11,87,6,Counseling,0
6223,Female,17,11,70,5,Mentorship,0
6821,Male,18,12,77,9,Mentorship,1
9781,Male,18,11,84,4,Counseling,0
4507,Female,16,11,93,7,Mentorship,0
9438,Male,18,12,100,9,Tutoring,0
1669,Male,17,10,86,4,Study Plan,1
9971,Female,16,11,73,1,Mentorship,1
7884,Female,16,10,98,8,Counseling,1
7785,Female,17,10,78,2,Counseling,0
8901,Male,16,12,83,3,Counseling,1
3862,Male,18,12,79,10,Study Plan,1
8055,Female,17,11,91,5,Study Plan,0
2265,Female,16,12,74,5,Counseling,0
6697,Male,17,9,79,2,Mentorship,0
9330,Male,17,12,96,5,Counseling,0
7021,Male,18,10,93,8,Tutoring,1
8551,Female,18,10,98,1,Tutoring,0
2935,Female,17,12,86,8,Study Plan,1
4015,Female,16,9,82,3,Tutoring,1
8038,Female,18,9,74,1,Mentorship,1
4064,Male,16,11,89,6,Study Plan,1
7037,Male,16,10,72,10,Tutoring,1
4544,Male,17,11,75,5,Tutoring,1
7353,Male,18,12,78,5,Study Plan,0
6696,Male,16,12,84,4,Counseling,0
4179,Female,16,10,83,6,Counseling,1
6371,Female,17,9,91,8,Tutoring,1
1317,Male,17,9,80,10,Counseling,0
4909,Male,18,10,85,1,Tutoring,1
6019,Male,17,10,82,10,Counseling,1
2881,Male,16,12,77,7,Study Plan,1
7793,Male,18,9,83,6,Counseling,0
3193,Male,18,12,84,2,Tutoring,1
5092,Female,16,12,87,3,Study Plan,0
6467,Female,18,12,71,8,Study Plan,0
8818,Male,17,9,97,2,Study Plan,0
8864,Male,16,9,81,4,Counseling,0
8163,Male,18,12,98,8,Study Plan,1
9819,Female,17,9,98,4,Mentorship,0
6233,Male,17,12,74,4,Study Plan,1
9273,Female,17,11,81,9,Counseling,1
3376,Female,18,10,71,10,Study Plan,0
8417,Male,18,11,72,7,Study Plan,0
5440,Male,17,12,88,6,Counseling,1
6172,Female,18,9,94,3,Counseling,0
1877,Female,17,10,92,7,Tutoring,1
1134,Female,18,9,100,1,Study Plan,0
3552,Male,17,11,91,8,Mentorship,0
3372,Female,16,9,93,4,Tutoring,0
9772,Female,16,11,94,2,Mentorship,1
4781,Male,17,12,100,9,Mentorship,0
3953,Male,17,12,96,6,Mentorship,0
5788,Male,18,12,70,1,Tutoring,0
3823,Male,16,11,77,7,Mentorship,1
2522,Male,17,9,89,3,Study Plan,1
5940,Male,17,10,76,5,Counseling,1
6215,Male,18,11,82,3,Study Plan,0
3073,Female,16,9,70,2,Counseling,1
9349,Female,16,12,94,9,Counseling,0
9954,Male,17,12,91,6,Study Plan,0
1722,Male,18,11,71,10,Counseling,0
7647,Female,16,12,79,1,Counseling,0
2920,Male,18,9,79,5,Tutoring,0
1451,Male,18,10,86,5,Study Plan,1
8493,Male,16,11,81,3,Mentorship,1
3892,Female,16,11,82,1,Study Plan,0
5533,Female,17,11,97,1,Mentorship,0
1113,Female,18,11,92,2,Counseling,0
4309,Female,18,12,82,1,Mentorship,0
1436,Female,18,11,71,8,Mentorship,0
6487,Male,16,11,91,1,Mentorship,0
1434,Male,18,10,87,9,Tutoring,1
1098,Male,18,10,73,6,Counseling,0
6425,Male,18,12,82,5,Counseling,0
3309,Male,17,11,83,1,Tutoring,1
6679,Female,16,12,75,6,Counseling,0
7998,Male,17,12,83,2,Mentorship,0
9287,Female,17,9,74,6,Tutoring,1
2377,Male,18,11,76,1,Mentorship,0
6967,Male,18,12,100,8,Counseling,0
8967,Female,16,10,94,1,Study Plan,0
4041,Female,16,9,93,6,Mentorship,1
3686,Female,17,11,78,9,Counseling,1
1057,Female,16,11,83,8,Study Plan,0
6015,Female,16,12,91,8,Mentorship,0
3299,Female,16,11,99,1,Mentorship,1
1877,Female,17,10,90,1,Tutoring,1
6134,Male,17,9,77,10,Tutoring,1
2035,Male,17,9,92,2,Tutoring,0
5833,Male,18,9,82,9,Counseling,1
